86,DESMOPRESSIN,H01BA02,Hormone chống bài niệu.,Thuốc tiêm 4 mcg/ml; Thuốc xịt mũi.,Minirin.,"Suy tim, bệnh thận trung bình đến nặng; Hội chứng SIADH (giảm natri máu).","Lithium, Heparin, Thuốc chống trầm cảm ba vòng (tăng nguy cơ giảm natri máu)."
87,DEXAMETHASONE,H02AB02,Corticosteroid.,"Viên nén 0,5 mg, 4 mg; Thuốc tiêm 4 mg/ml.","Decadron, Dexa.",Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"Rifampicin, Phenytoin (giảm nồng độ Dexamethasone); Thuốc lợi tiểu quai, NSAIDs, Digoxin."
88,DIAZEPAM,N05BA01,"Thuốc giải lo âu, Benzodiazepine.","Viên nén 2 mg, 5 mg, 10 mg; Thuốc tiêm 5 mg/ml.","Valium, Seduxen.",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Suy gan nặng; Phụ nữ có thai 3 tháng đầu.,"Rượu, Thuốc ức chế TKTW (tăng ức chế hô hấp); Thuốc ức chế CYP3A4 (Ketoconazole, Itraconazole)."
89,DICLOFENAC,M01AB05,Thuốc chống viêm không steroid (NSAID).,"Viên nén 25 mg, 50 mg, 75 mg; Thuốc tiêm 75 mg/3 ml.","Voltaren, Cataflam.",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; Suy tim/thận nặng; 3 tháng cuối thai kỳ.,"Warfarin (tăng nguy cơ chảy máu); Methotrexate, Thuốc lợi tiểu, ACEI/ARB (giảm tác dụng hạ huyết áp)."
90,DIGOXIN,C01AA05,Glycosid trợ tim.,"Viên nén 0,25 mg; Thuốc tiêm 0,25 mg/ml.","Lanoxin, Digocin.",Block nhĩ thất hoàn toàn; Rung thất; Nhịp nhanh thất.,"Amiodaron, Verapamil, Diltiazem, Thuốc lợi tiểu (giảm Kali máu), Thuốc kháng acid."
91,DILTIAZEM,C08DB01,Thuốc chẹn kênh canxi.,"Viên nén 30 mg, 60 mg; Viên phóng thích chậm 90 mg, 180 mg.","Cardizem, Dilzem.","Nhịp chậm xoang, Block nhĩ thất độ 2/3 (trừ khi có máy tạo nhịp); Sốc tim.","Thuốc chẹn beta (nguy cơ nhịp chậm nặng); Digoxin, Carbamazepine, Cyclosporine (tăng nồng độ)."
92,DIMENHYDRINATE,R06AA02,"Thuốc chống nôn, kháng Histamin H1.",Viên nén 50 mg; Thuốc tiêm 50 mg/ml.,Dramamine.,"Glôcôm góc đóng; Tắc nghẽn đường tiểu, phì đại tiền liệt tuyến; Trẻ sơ sinh.","Rượu, Thuốc ức chế TKTW (tăng an thần)."
93,DIMERCAPROL,V03AB09,Thuốc giải độc kim loại nặng.,Thuốc tiêm 100 mg/ml.,BAL (British Anti-Lewisite).,Suy gan nặng (trừ trường hợp nhiễm độc Asen).,Sắt (tạo phức độc).
94,DIPHENHYDRAMINE,R06AA02,Thuốc kháng Histamin H1 thế hệ 1.,"Viên nén 25 mg, 50 mg; Thuốc tiêm 10 mg/ml.",Benadryl.,"Glôcôm góc đóng; Tắc nghẽn đường tiểu; Trẻ sơ sinh, trẻ sinh non.","Rượu, Thuốc ức chế TKTW (tăng an thần); Thuốc ức chế MAO."
95,DOBUTAMINE,C01CA07,Thuốc cường giao cảm; Thuốc tăng co bóp cơ tim.,Bột pha tiêm 250 mg.,Dobutrex.,Hẹp động mạch chủ dưới van tim; Phụ nữ có thai.,Thuốc chẹn beta (giảm tác dụng); Thuốc gây mê dạng hít (tăng loạn nhịp).
96,DOPAMINE,C01CA04,Thuốc cường giao cảm; Thuốc điều trị sốc.,"Thuốc tiêm 40 mg/ml, 80 mg/ml.",Intropin.,U tủy thượng thận; Loạn nhịp thất; Quá mẫn.,Thuốc ức chế MAO (tăng tác dụng); Thuốc gây mê dạng hít.
97,DOXORUBICIN,L01DB01,Thuốc chống ung thư (Anthracycline).,"Bột pha tiêm 10 mg, 50 mg.",Adriamycin.,Suy cơ tim nặng; Suy tủy nặng; Nhiễm khuẩn toàn thân.,Cyclophosphamide (tăng độc tính tim); Thuốc ức chế CYP3A4.
98,DOXYCYCLINE,J01AA02,Kháng sinh nhóm Tetracycline.,Viên nén 100 mg; Viên nang 50 mg.,"Vibramycin, Doxy.","Trẻ em dưới 8 tuổi (nguy cơ đổi màu răng); Có thai, cho con bú; Quá mẫn.","Thuốc kháng acid, Sắt, Kẽm (giảm hấp thu); Thuốc chống co giật (Phenytoin, Carbamazepine - giảm nồng độ Doxycycline); Warfarin."
99,ENALAPRIL,C09AA02,Thuốc ức chế men chuyển Angiotensin (ACEI).,"Viên nén 5 mg, 10 mg, 20 mg.","Vasotec, Enam.",Tiền sử phù mạch do ACEI; Hẹp động mạch thận hai bên; Có thai.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung, NSAIDs, Lithium."
100,ENCAINIDE,C01BC02,Thuốc chống loạn nhịp nhóm IC.,"Viên nén 25 mg, 35 mg, 50 mg.",Enkaid.,Nhịp nhanh thất kéo dài; Sốc tim; Block nhĩ thất độ 2/3.,"Thuốc ức chế CYP2D6 (Quinidine, Cimetidine)."
101,ENOXAPARIN,B01AB05,Thuốc chống đông máu; Heparin trọng lượng phân tử thấp.,"Thuốc tiêm 20 mg/0,2 ml; 40 mg/0,4 ml; 60 mg/0,6 ml.","Lovenox, Clexane.",Xuất huyết nội đang hoạt động; Viêm nội tâm mạc nhiễm khuẩn; Tiền sử giảm tiểu cầu do heparin (HIT).,"Thuốc chống đông máu đường uống (Warfarin); NSAIDs, Aspirin, Clopidogrel; Dextran."
102,EPHEDRINE,R03AA03,Thuốc cường giao cảm; Thuốc giãn phế quản.,Thuốc tiêm 30 mg/ml; Viên nén 25 mg.,Ephedrin.,Cường giáp; Tăng huyết áp nặng; Glôcôm góc đóng; Đang dùng thuốc ức chế MAO.,Thuốc ức chế MAO (nguy cơ tăng huyết áp nghiêm trọng); Glycosid trợ tim; Thuốc gây mê dạng hít (Halothane).
103,EPINEPHRINE (ADRENALINE),C01CA24,Thuốc cường giao cảm; Thuốc điều trị sốc phản vệ.,Thuốc tiêm 1 mg/ml.,"Adrenalin, Epinephrine.",Glôcôm góc đóng; Bệnh tim mạch nặng (trừ sốc); Đang dùng thuốc gây mê toàn thân (Halothane).,Thuốc chẹn beta (giảm tác dụng); Thuốc chống trầm cảm ba vòng; Glycosid trợ tim (tăng độc tính tim).
104,ERGOMETRINE,G02AB03,Thuốc co hồi tử cung (Ergot alkaloid).,"Viên nén 0,2 mg; Thuốc tiêm 0,2 mg/ml.",Ergometrin.,Tăng huyết áp; Tiền sản giật/Sản giật; Tắc mạch.,"Thuốc ức chế CYP3A4 (Macrolide, Azole); Thuốc ức chế HIV protease."
105,ERYTHROMYCIN,J01FA01,Kháng sinh nhóm Macrolide.,"Viên nén 250 mg, 500 mg; Hỗn dịch uống 125 mg/5 ml.","Erythro, E-Mycin.","Quá mẫn với Macrolide; Suy gan nặng; Đang dùng Terfenadine, Cisapride.","Warfarin; Carbamazepine, Phenytoin (tăng nồng độ); Simvastatin (tăng nguy cơ tiêu cơ vân)."
106,ETHAMBUTOL,J04AK02,Thuốc chống lao.,"Viên nén 200 mg, 400 mg.",Myambutol.,Viêm thần kinh thị giác; Quá mẫn; Trẻ em dưới 6 tuổi (khó đánh giá thị lực).,Thuốc kháng acid chứa nhôm (giảm hấp thu Ethambutol).
107,ETHINYL ESTRADIOL,G03CA01,Estrogen.,Viên nén (thường phối hợp).,"Diane 35, Marvelon.",Huyết khối tắc mạch; Bệnh gan nặng; Ung thư phụ thuộc Estrogen.,"Rifampicin, Carbamazepine, Phenytoin (giảm hiệu quả tránh thai); Kháng sinh phổ rộng."
108,ETOPOSIDE,L01CB01,Thuốc chống ung thư; Chất ức chế topoisomerase.,Nang mềm 50 mg; Thuốc tiêm 100 mg/5 ml.,Vepesid.,Suy tủy nặng; Quá mẫn.,"Warfarin (tăng nguy cơ chảy máu); Cyclosporine, Cisplatin."
109,FAMOTIDINE,A02BA03,Thuốc kháng Histamin H2.,"Viên nén 20 mg, 40 mg.",Pepcid.,Quá mẫn với các thuốc kháng thụ thể H2 khác; Suy thận nặng (cần giảm liều).,"Thuốc kháng acid (giảm hấp thu); Atazanavir, Ketoconazole, Itraconazole (giảm hấp thu)."
110,FENOFIBRATE,C10AB05,Thuốc hạ lipid máu; Fibrate.,"Viên nang 100 mg, 200 mg.","Lipanthyl, Tricor.","Suy gan/thận nặng; Bệnh túi mật; Có thai, cho con bú.",Warfarin (tăng tác dụng chống đông); Statin (tăng nguy cơ tiêu cơ vân).
111,FENTANYL,N01AH01,Thuốc giảm đau Opioid.,Thuốc tiêm 50 mcg/ml; Miếng dán ngoài da.,"Sublimaze, Durogesic.",Suy hô hấp cấp; Bệnh phổi tắc nghẽn mạn tính nặng.,"Rượu, Benzodiazepine (tăng ức chế hô hấp); Thuốc ức chế CYP3A4 (Ritonavir)."
112,FERROUS SULFATE (SẮT SULFATE),B03AA07,Thuốc bổ sung sắt.,Viên nén 60 mg Sắt nguyên tố; Dung dịch uống.,Ferrovit.,Thừa sắt (Hemochromatosis); Thiếu máu không do thiếu sắt; Loét dạ dày tá tràng tiến triển.,"Thuốc kháng acid, Tetracycline, Fluoroquinolone (giảm hấp thu sắt); Thyroxin, Penicillamine."
113,FLUCONAZOLE,J02AC01,Thuốc chống nấm nhóm Azole.,"Viên nang 50 mg, 150 mg; Thuốc tiêm 2 mg/ml.","Diflucan, Flucan.","Quá mẫn; Đang dùng Terfenadine, Cisapride (nguy cơ QT kéo dài).","Warfarin, Phenytoin, Rifampicin, Cyclosporine, Thuốc hạ đường huyết nhóm Sulfonylure."
114,FLUOROURACIL (5-FU),L01BC02,Thuốc chống ung thư; Chất chống chuyển hóa.,Thuốc tiêm 50 mg/ml; Kem bôi 5%.,"Adrucil, Efudex.",Suy tủy nặng; Nhiễm khuẩn nặng; Dinh dưỡng kém.,Warfarin (tăng tác dụng chống đông); Leucovorin (tăng độc tính).
115,FLUOXETINE,N06AB03,Thuốc chống trầm cảm (SSRI).,Viên nang 20 mg; Dung dịch uống.,"Prozac, Floxet.",Đang dùng Thuốc ức chế MAO (nguy cơ hội chứng Serotonin); Quá mẫn.,"Thuốc ức chế MAO; Tryptophan, Lithium; Thuốc chống đông, Thuốc chống kết tập tiểu cầu."
116,FLUPHENAZINE,N05AA03,Thuốc chống loạn thần (Phenothiazine).,"Viên nén 1 mg, 5 mg; Thuốc tiêm 2,5 mg/ml.",Prolixin.,Hôn mê; Suy tủy nặng; Tổn thương gan nặng; Tổn thương não dưới vỏ.,"Rượu, Barbiturat; Thuốc kháng Cholinergic; Antacid (giảm hấp thu)."
117,FLUTAMIDE,L02BB01,Thuốc kháng Androgen.,"Viên nén 125 mg, 250 mg.",Eulexin.,Suy gan nặng; Quá mẫn.,Warfarin (tăng thời gian prothrombin).
118,FUROSEMIDE,C03CA01,Thuốc lợi tiểu quai.,"Viên nén 20 mg, 40 mg; Thuốc tiêm 10 mg/ml.","Lasix, Furo.",Tiền hôn mê gan; Vô niệu; Giảm kali huyết nặng; Quá mẫn với sulfonamid.,"Aminoglycosid, Cisplatin (tăng độc tính tai/thận); Lithium, NSAIDs (giảm tác dụng); Digoxin (tăng độc tính)."
119,GANCICLOVIR,J05AB06,Thuốc kháng virus.,"Bột pha tiêm 500 mg; Viên nang 250 mg, 500 mg.",Cytovene.,"Quá mẫn; Giảm bạch cầu trung tính, tiểu cầu nặng.","Zidovudine, Didanosine (tăng độc tính); Probenecid."
120,GENTAMICIN (TOÀN THÂN),J01GB03,Kháng sinh nhóm Aminoglycosid.,"Thuốc tiêm 40 mg/ml, 80 mg/2 ml.","Garamycin, Gentacin.","Quá mẫn với Aminoglycosid; Suy thận, tổn thương thính giác.","Thuốc lợi tiểu quai (Furosemide); Vancomycin, Amphotericin B (tăng độc tính thận/tai); Cephalosporin."
121,GLIBENCLAMIDE,A10BB01,Thuốc chống đái tháo đường nhóm Sulfonylure.,Viên nén 5 mg.,"Daonil, Euglucon.",Nhiễm toan ceton do đái tháo đường; Suy thận/gan nặng; Quá mẫn với Sulfonylurea.,"Thuốc chẹn Beta, Fluconazol, Chloramphenicol (tăng tác dụng); Rifampicin (giảm tác dụng)."
122,GLIPIZIDE,A10BB07,Thuốc chống đái tháo đường nhóm Sulfonylure.,"Viên nén 5 mg, 10 mg.",Glucotrol.,Nhiễm toan ceton; Suy gan/thận nặng; Quá mẫn với Sulfonylurea.,"Thuốc chẹn Beta, Fluconazol, NSAIDs (tăng nguy cơ hạ đường huyết); Rượu."
123,GLYCEROL,A06AG04,Thuốc nhuận tràng thẩm thấu.,"Thuốc đạn 1 g, 2 g.",Glycerin Suppositories.,Tắc ruột; Đau bụng cấp chưa chẩn đoán.,Không có tương tác đáng kể.
124,HALOPERIDOL,N05AD01,Thuốc chống loạn thần (Butyrophenone).,"Viên nén 0,5 mg, 5 mg; Thuốc tiêm 5 mg/ml.",Haldol.,Hôn mê; Tổn thương não dưới vỏ; Bệnh Parkinson nặng.,"Thuốc ức chế TKTW (Rượu, Benzodiazepine); Thuốc chống Parkinson."
125,HALOTHANE,N01AB01,Thuốc mê đường hô hấp.,Dung dịch hít.,Halothane.,Tiền sử vàng da không rõ nguyên nhân sau dùng Halothane; Tăng áp lực nội sọ.,Adrenaline (tăng loạn nhịp); Thuốc giãn cơ không khử cực.
126,HEPARIN,B01AB01,Thuốc chống đông máu.,Thuốc tiêm 5000 IU/ml.,Heparin.,Xuất huyết nội đang hoạt động; Giảm tiểu cầu do heparin (HIT); Chấn thương sọ não gần đây.,"Aspirin, NSAIDs, Clopidogrel, Warfarin (tăng nguy cơ chảy máu); Dextran."
127,HYDRALAZINE,C02DB02,Thuốc hạ huyết áp; Thuốc giãn mạch trực tiếp.,"Viên nén 10 mg, 25 mg, 50 mg.",Apresoline.,Lupus ban đỏ hệ thống do thuốc; Phình tách động mạch chủ; Nhịp tim nhanh.,Thuốc ức chế MAO; Thuốc hạ huyết áp khác (tăng tác dụng).
128,HYDROCHLOROTHIAZIDE (HCTZ),C03AA03,Thuốc lợi tiểu Thiazid.,"Viên nén 25 mg, 50 mg.",Hydrodiuril.,Vô niệu; Suy thận nặng; Quá mẫn với sulfonamid.,"Lithium (tăng độc tính); Digoxin, Corticosteroid (tăng nguy cơ giảm Kali); NSAIDs (giảm tác dụng lợi tiểu)."
129,HYDROCORTISONE (TOÀN THÂN),H02AB02,Corticosteroid.,"Viên nén 10 mg, 20 mg; Thuốc tiêm 100 mg/2 ml.",Solu-Cortef.,Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"Rifampicin, Phenytoin (giảm nồng độ); Thuốc lợi tiểu quai, NSAIDs, Digoxin."
130,HYDROXOCOBALAMIN (VITAMIN B12),B03BA03,Vitamin.,Thuốc tiêm 1000 mcg/ml.,Vitamin B12.,U ác tính (có thể thúc đẩy sự phát triển); Quá mẫn.,Chloramphenicol (làm giảm đáp ứng huyết học); Omeprazole/Lansoprazole (PPIs); Metformin.
131,IBUPROFEN,M01AE01,Thuốc chống viêm không steroid (NSAID).,"Viên nén 200 mg, 400 mg; Hỗn dịch uống 100 mg/5 ml.","Advil, Brufen.",Loét dạ dày tá tràng tiến triển; Rối loạn chảy máu; 3 tháng cuối thai kỳ.,"Warfarin, Aspirin (tăng nguy cơ chảy máu); Lithium, Methotrexate (tăng độc tính); Thuốc lợi tiểu."
132,IMIPENEM,J01DH51,Kháng sinh nhóm Carbapenem (thường phối hợp với Cilastatin).,Bột pha tiêm 500 mg (kết hợp Cilastatin 500 mg).,Tienam.,"Quá mẫn với Carbapenem, Penicillin.",Ganciclovir (tăng nguy cơ co giật); Probenecid.
133,IMIPRAMINE,N06AA02,Thuốc chống trầm cảm ba vòng.,"Viên nén 10 mg, 25 mg.",Tofranil.,Đang dùng Thuốc ức chế MAO; Giai đoạn phục hồi sau nhồi máu cơ tim.,"Thuốc ức chế MAO; Rượu, Thuốc ức chế TKTW; Thuốc kháng Cholinergic; Cimetidine (tăng nồng độ)."
134,"INSULIN, ISOPHANE (NPH)",A10AC01,Insulin tác dụng trung gian.,Hỗn dịch tiêm 100 IU/ml.,"Humulin N, Insulatard.",Hạ đường huyết cấp; Quá mẫn.,"Thuốc chẹn beta, Rượu (che lấp triệu chứng hạ đường huyết); Corticosteroid, Thuốc lợi tiểu (tăng đường huyết)."
135,"INSULIN, REGULAR (TÁC DỤNG NHANH)",A10AB01,Insulin tác dụng nhanh.,Dung dịch tiêm 100 IU/ml.,"Humulin R, Actrapid.",Hạ đường huyết cấp; Quá mẫn.,"Thuốc chẹn beta, Rượu; Corticosteroid, Thuốc lợi tiểu."
136,IODINE,D08AG03,Thuốc sát khuẩn.,"Dung dịch cồn Iod 2%, Povidon iod 10%.","Povidone-Iodine, Lugol's solution.",Bệnh tuyến giáp (cường giáp); Quá mẫn với Iod.,Lithium (nguy cơ suy giáp); Thủy ngân (tạo hợp chất độc).
137,IOPAMIDOL,V08AB04,Thuốc cản quang chứa Iod không ion hóa.,Dung dịch tiêm 300 mg Iod/ml.,Isovue.,Quá mẫn nặng với thuốc cản quang Iod; Cường giáp chưa kiểm soát.,Metformin (nguy cơ nhiễm toan lactic); Thuốc chẹn beta.
138,IPRATROPIUM BROMIDE,R03BB01,Thuốc giãn phế quản (Kháng cholinergic).,Dung dịch hít 20 mcg/liều.,Atrovent.,Quá mẫn với Ipratropium hoặc Atropine; Glôcôm góc đóng.,Thuốc kháng cholinergic khác (tăng tác dụng phụ).
139,IRON DEXTRAN,B03AC06,Thuốc bổ sung sắt (đường tiêm).,Thuốc tiêm 50 mg Sắt/ml.,Imferon.,Thiếu máu không do thiếu sắt; Thừa sắt; Suy gan/thận nặng.,"Thuốc kháng acid, Penicillamine, Thyroxin."
140,ISONIAZID (INH),J04AC01,Thuốc chống lao.,"Viên nén 50 mg, 100 mg.","Nydrazid, INH.",Bệnh gan hoạt động (bao gồm viêm gan do thuốc); Quá mẫn.,"Rượu; Phenytoin, Carbamazepine (tăng nồng độ, tăng độc tính); Disulfiram."
141,ISOSORBIDE DINITRATE,C01DA08,"Thuốc giãn mạch, điều trị đau thắt ngực.","Viên nén 5 mg, 10 mg; Viên ngậm dưới lưỡi 5 mg.","Isordil, Nitrosorbide.",Tụt huyết áp nặng; Sốc tim; Tăng áp lực nội sọ; Đang dùng thuốc ức chế Phosphodiesterase (Sildenafil).,Sildenafil/Tadalafil (tăng nguy cơ tụt huyết áp nghiêm trọng); Thuốc giãn mạch khác; Rượu.
142,KETAMINE,N01AX03,Thuốc mê đường tiêm.,"Thuốc tiêm 50 mg/ml, 100 mg/ml.",Ketalar.,Tăng huyết áp nặng; Suy tim mất bù; Tiền sử đột quỵ.,"Thuốc tuyến giáp; Barbiturat, Diazepam (kéo dài thời gian hồi phục)."
143,KETOCONAZOLE (TOÀN THÂN),J02AB02,Thuốc chống nấm nhóm Azole.,Viên nén 200 mg.,Nizoral.,"Bệnh gan cấp/mạn tính; Đang dùng Terfenadine, Cisapride, Simvastatin.","Simvastatin, Atorvastatin (tăng nguy cơ tiêu cơ vân); Warfarin; Rifampicin (giảm nồng độ Ketoconazole)."
144,LACTULOSE,A06AD11,Thuốc nhuận tràng thẩm thấu; Thuốc điều trị tiền hôn mê gan.,"Dung dịch uống 3,3 g/5 ml.","Duphalac, Laeulos.",Tắc ruột; Galactose huyết.,Thuốc kháng acid không hấp thu (giảm hiệu quả Lactulose).
145,LAMIVUDINE (3TC),J05AF05,Thuốc kháng virus (NRTI).,"Viên nén 150 mg, 300 mg.","Epivir, Zeffix.",Quá mẫn.,Trimethoprim/Sulfamethoxazole (tăng nồng độ Lamivudine); Zidovudine (giảm hấp thu).
146,LANSOPRAZOLE,A02BC03,Thuốc ức chế bơm proton (PPI).,"Viên nang 15 mg, 30 mg.","Prevacid, Lanzop.",Quá mẫn; Đang dùng Atazanavir.,"Atazanavir (giảm hấp thu Atazanavir); Sucralfate; Digoxin, Ketoconazole (giảm hấp thu)."
147,LEVAMISOLE,P02CE01,Thuốc trị giun; Thuốc điều hòa miễn dịch.,"Viên nén 50 mg, 150 mg.",Decaris.,Quá mẫn; Rối loạn tạo máu.,Warfarin (tăng nguy cơ chảy máu); Rượu (gây phản ứng giống Disulfiram).
148,LEVODOPA,N04BA01,Thuốc chống Parkinson.,Viên nén (thường phối hợp với Carbidopa/Benserazide).,"Sinemet, Madopar.",Glôcôm góc đóng; Tổn thương da nghi ngờ ung thư; Đang dùng Thuốc ức chế MAO không chọn lọc.,Thuốc ức chế MAO không chọn lọc; Phenytoin; Papaverin; Thuốc an thần (giảm tác dụng).
149,LIDOCAINE,C01BB01,Thuốc chống loạn nhịp nhóm IB; Thuốc gây tê tại chỗ.,"Thuốc tiêm 1%, 2%; Gel bôi 2%.","Xylocaine, Lidocain.",Quá mẫn với thuốc gây tê amide; Hội chứng Adams-Stokes; Block tim nặng.,Thuốc chẹn beta (giảm thanh thải Lidocaine); Cimetidine.
150,LISINOPRIL,C09AA03,Thuốc ức chế men chuyển Angiotensin (ACEI).,"Viên nén 5 mg, 10 mg, 20 mg.","Prinivil, Zestril.",Phù mạch do dùng ACEI trước đó; Hẹp động mạch thận hai bên; Có thai.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung, NSAIDs (giảm tác dụng hạ huyết áp); Lithium."
151,LITHIUM CARBONATE,N05AN01,Thuốc điều trị rối loạn lưỡng cực.,"Viên nén 300 mg, 400 mg (phóng thích kéo dài).","Lithobid, Eskalith.","Suy thận nặng; Mất nước, giảm natri máu; Bệnh tim mạch nặng; Có thai, cho con bú.","Thuốc lợi tiểu Thiazid (tăng độc tính Lithium); NSAIDs, ACEI/ARB (tăng nồng độ Lithium); Thuốc chống loạn thần."
152,LOPERAMIDE,A07DA03,Thuốc chống tiêu chảy.,Viên nang 2 mg.,"Imodium, Loperacap.","Lỵ cấp, viêm ruột kết giả mạc, tắc ruột.","Thuốc ức chế CYP3A4, CYP2C8 (Quinidine, Ritonavir); Thuốc kháng Cholinergic."
153,LORATADINE,R06AX13,Thuốc kháng Histamin H1 thế hệ 2.,Viên nén 10 mg; Xi rô 5 mg/5 ml.,"Claritin, Lorin.",Quá mẫn.,"Ketoconazole, Erythromycin, Cimetidine (tăng nồng độ Loratadine)."
154,LORAZEPAM,N05BA06,"Thuốc giải lo âu, Benzodiazepine.","Viên nén 0,5 mg, 1 mg, 2 mg; Thuốc tiêm 2 mg/ml.","Ativan, Loris.",Glôcôm góc đóng; Suy hô hấp cấp; Nhược cơ nặng; Suy gan nặng.,"Rượu, Thuốc ức chế TKTW (tăng ức chế hô hấp); Probenecid."
155,LOSARTAN,C09CA01,Thuốc đối kháng thụ thể Angiotensin II (ARB).,"Viên nén 50 mg, 100 mg.","Cozaar, Lotan.",Có thai (3 tháng giữa và cuối); Hẹp động mạch thận hai bên; Quá mẫn.,"Thuốc lợi tiểu giữ Kali, Kali bổ sung; NSAIDs (giảm tác dụng hạ huyết áp); Lithium."
156,MANNITOL,B05BC01,Thuốc lợi tiểu thẩm thấu.,"Dung dịch tiêm truyền 10%, 20%.","Osmitrol, Mannitol.","Vô niệu do tổn thương thận nặng; Mất nước nghiêm trọng; Suy tim nặng, phù phổi.",Không có tương tác thuốc đáng kể.
157,MEBENDAZOLE,P02CA01,Thuốc trị giun sán.,Viên nén 500 mg; Hỗn dịch uống 100 mg/5 ml.,"Vermox, Fugacar.",Quá mẫn; Trẻ em dưới 2 tuổi.,"Cimetidine (tăng nồng độ Mebendazole); Phenytoin, Carbamazepine (giảm nồng độ)."
