inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
BROMHEXINE,Thuốc làm tiêu chất nhầy.,['Bisolvon'],"['Viên nén 8 mg', 'Dung dịch uống 4 mg/5 ml']",bromhexine,r05cb02,thuoc lam tieu chat nhay.,"['vien nen 8mg', 'dung dich uong 4mg/5ml']",['bisolvon'],"['nen', 'vien', '8mg', 'dung', 'thuoc', 'lam', 'nhay', 'dich', 'chat', 'uong', 'tieu', 'bromhexine', 'r05cb02', '4mg/5ml', 'bisolvon']",[],"{""oral""}",False,,[],"Loét dạ dày tá tràng tiến triển, Quá mẫn.","{""respiratory""}"
BUDESONIDE (HÍT),Corticosteroid dạng hít.,"['Pulmicort', 'Symbicort (phối hợp)']","['Thuốc hít 100 mcg/liều', 'Thuốc hít 200 mcg/liều']",budesonide (hit),r03ba02,corticosteroid dang hit.,"['thuoc hit 100 mcg/lieu', 'thuoc hit 200 mcg/lieu']","['pulmicort', 'symbicort (phoi hop)']","['hit', 'mcg/lieu', 'dang', 'budesonide', 'pulmicort', 'thuoc', 'symbicort', 'hop', 'r03ba02', '100', 'phoi', '200', 'corticosteroid']",[],"{""inhalation""}",False,,[],"Hen cấp tính (không dùng để cắt cơn), Quá mẫn.","{""respiratory""}"
BUPRENORPHINE,Thuốc giảm đau Opioid bán tổng hợp.,"['Subutex', 'Buprenex']","['Thuốc tiêm 0', 'Thuốc tiêm 3 mg/ml', 'Viên ngậm dưới lưỡi 2 mg', 'Viên ngậm dưới lưỡi 8 mg']",buprenorphine,n07bc01,thuoc giam dau opioid ban tong hop.,"['thuoc tiem 0', 'thuoc tiem 3mg/ml', 'vien ngam duoi luoi 2mg', 'vien ngam duoi luoi 8mg']","['subutex', 'buprenex']","['opioid', 'duoi', 'vien', '8mg', 'dau', '3mg/ml', '2mg', 'subutex', 'luoi', 'tiem', 'ngam', 'giam', 'ban', 'buprenorphine', 'n07bc01', 'thuoc', '0', 'buprenex', 'hop', 'tong']",[],"{""oral"",""injection""}",False,,[],Quá mẫn; Suy hô hấp cấp.,"{""neurology""}"
BUSPIRONE,Thuốc giải lo âu.,['Buspar'],"['Viên nén 5 mg', 'Viên nén 10 mg']",buspirone,n05be01,thuoc giai lo au.,"['vien nen 5mg', 'vien nen 10mg']",['buspar'],"['10mg', 'vien', 'thuoc', '5mg', 'n05be01', 'giai', 'au', 'buspirone', 'buspar', 'nen', 'lo']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']","Đang dùng Thuốc ức chế MAO (nguy cơ tăng huyết áp), Suy thận/gan nặng.","{""psychiatry""}"
CALCIUM CARBONATE,Bổ sung Canxi; Thuốc kháng acid.,['Calci D'],"['Viên nén 500 mg', 'Viên nén 600 mg']",calcium carbonate,a12aa04,bo sung canxi; thuoc khang acid.,"['vien nen 500mg', 'vien nen 600mg']",['calci d'],"['calci', 'sung', 'vien', 'd', '600mg', 'carbonate', 'a12aa04', 'bo', 'thuoc', 'acid', 'canxi', 'nen', '500mg', 'calcium', 'khang']",[],"{""oral""}",False,,['renal_adjust'],"Tăng canxi máu, suy thận nặng, sỏi thận.",{}
CALCIUM GLUCONATE,Bổ sung Canxi.,['Calcium Gluconate'],['Thuốc tiêm 100 mg/ml'],calcium gluconate,a12aa03,bo sung canxi.,['thuoc tiem 100mg/ml'],['calcium gluconate'],"['sung', 'a12aa03', 'bo', 'gluconate', 'thuoc', 'canxi', '100mg/ml', 'tiem', 'calcium']",[],"{""injection""}",False,,[],"Tăng canxi máu, đang dùng Digitalis.",{}
CAPTOPRIL,Thuốc ức chế men chuyển Angiotensin (ACEI).,['Capoten'],"['Viên nén 25 mg', 'Viên nén 50 mg']",captopril,c09aa01,thuoc uc che men chuyen angiotensin (acei).,"['vien nen 25mg', 'vien nen 50mg']",['capoten'],"['che', 'nen', 'vien', 'captopril', 'acei', 'thuoc', 'capoten', 'men', 'chuyen', 'angiotensin', '25mg', 'uc', 'c09aa01', '50mg']",[],"{""oral""}",False,,['renal_adjust'],"Tiền sử phù mạch do ACEI, hẹp động mạch thận hai bên, có thai.","{""cardiology""}"
CARBAMAZEPINE,Thuốc chống co giật; Thuốc chống động kinh.,"['Tegretol', 'Carbatrol']","['Viên nén 200 mg', 'Viên nén 400 mg', 'Hỗn dịch uống 100 mg/5 ml']",carbamazepine,n03af01,thuoc chong co giat; thuoc chong dong kinh.,"['vien nen 200mg', 'vien nen 400mg', 'hon dich uong 100mg/5ml']","['tegretol', 'carbatrol']","['vien', 'carbamazepine', 'n03af01', 'co', 'hon', 'thuoc', 'carbatrol', 'dich', '200mg', 'uong', 'chong', 'kinh', 'dong', '400mg', 'tegretol', 'nen', '100mg/5ml', 'giat']",[],"{""oral""}",True,,[],Đang dùng Thuốc ức chế MAO; Block nhĩ thất; Rối loạn tạo máu nặng; Quá mẫn.,"{""neurology""}"
CARBIDOPA,Thuốc chống Parkinson (phối hợp).,"['Sinemet (phối hợp)', 'Duodopa']",['Viên nén (thường phối hợp với Levodopa)'],carbidopa,n04ba02,thuoc chong parkinson (phoi hop).,['vien nen (thuong phoi hop voi levodopa)'],"['sinemet (phoi hop)', 'duodopa']","['nen', 'vien', 'carbidopa', 'n04ba02', 'thuong', 'levodopa', 'thuoc', 'chong', 'sinemet', 'duodopa', 'parkinson', 'phoi', 'hop', 'voi']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Tổn thương da nghi ngờ ung thư.,"{""neurology""}"
CARBOPLATIN,Thuốc chống ung thư; Hợp chất Platin.,"['Paraplatin', 'Carboplatin']","['Bột pha tiêm 50 mg', 'Bột pha tiêm 150 mg', 'Bột pha tiêm 450 mg']",carboplatin,l01xa02,thuoc chong ung thu; hop chat platin.,"['bot pha tiem 50mg', 'bot pha tiem 150mg', 'bot pha tiem 450mg']","['paraplatin', 'carboplatin']","['150mg', 'paraplatin', 'bot', 'carboplatin', 'thu', 'platin', 'pha', 'thuoc', 'l01xa02', 'chat', 'chong', '450mg', 'tiem', 'ung', '50mg', 'hop']",[],"{""injection""}",False,,['renal_adjust'],Suy tủy nặng; Chảy máu nặng; Suy thận nặng (cần điều chỉnh liều).,"{""oncology""}"
CEFALEXIN,Kháng sinh nhóm Cephalosporin thế hệ 1.,"['Keflex', 'Cefastar']","['Viên nang 250 mg', 'Viên nang 500 mg', 'Hỗn dịch uống 125 mg/5 ml']",cefalexin,j01db01,khang sinh nhom cephalosporin the he 1.,"['vien nang 250mg', 'vien nang 500mg', 'hon dich uong 125mg/5ml']","['keflex', 'cefastar']","['cefastar', '1', 'j01db01', 'vien', 'he', 'hon', 'cephalosporin', 'khang', 'nang', '250mg', 'dich', 'keflex', 'uong', 'cefalexin', 'nhom', 'sinh', 'the', '125mg/5ml', '500mg']",[],"{""oral""}",True,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFAZOLIN,Kháng sinh nhóm Cephalosporin thế hệ 1.,"['Kefzol', 'Cefamezin']","['Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g']",cefazolin,j01db04,khang sinh nhom cephalosporin the he 1.,"['bot pha tiem 500mg', 'bot pha tiem 1g']","['kefzol', 'cefamezin']","['nhom', 'he', 'kefzol', 'sinh', 'cephalosporin', 'bot', 'pha', 'cefamezin', 'the', 'tiem', 'j01db04', '500mg', 'cefazolin', '1', 'khang', '1g']",[],"{""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFOTAXIME,Kháng sinh nhóm Cephalosporin thế hệ 3.,"['Claforan', 'Cefotax']","['Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g']",cefotaxime,j01dd01,khang sinh nhom cephalosporin the he 3.,"['bot pha tiem 500mg', 'bot pha tiem 1g']","['claforan', 'cefotax']","['3', 'nhom', 'he', 'sinh', 'bot', 'pha', 'j01dd01', 'cefotaxime', 'the', 'claforan', 'tiem', 'cefotax', 'cephalosporin', '500mg', 'khang', '1g']",[],"{""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CEFTRIAXONE,Kháng sinh nhóm Cephalosporin thế hệ 3.,"['Rocephin', 'Ceftrax']","['Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g']",ceftriaxone,j01dd04,khang sinh nhom cephalosporin the he 3.,"['bot pha tiem 500mg', 'bot pha tiem 1g']","['rocephin', 'ceftrax']","['3', 'j01dd04', 'ceftriaxone', 'nhom', 'he', 'sinh', 'bot', 'rocephin', 'pha', 'the', 'ceftrax', 'tiem', 'cephalosporin', '500mg', 'khang', '1g']",[],"{""injection""}",False,,[],Quá mẫn với Cephalosporin. Trẻ sơ sinh vàng da (nguy cơ bệnh não do Bilirubin); Dùng đồng thời với dung dịch Calci IV.,"{""infectious""}"
CEFUROXIME,Kháng sinh nhóm Cephalosporin thế hệ 2.,"['Zinnat', 'Zinacef']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Bột pha tiêm 750 mg', 'Bột pha tiêm 1', 'Bột pha tiêm 5 g']",cefuroxime,j01dc02,khang sinh nhom cephalosporin the he 2.,"['vien nen 250mg', 'vien nen 500mg', 'bot pha tiem 750mg', 'bot pha tiem 1', 'bot pha tiem 5g']","['zinnat', 'zinacef']","['1', 'vien', 'he', '2', 'cephalosporin', 'cefuroxime', 'khang', '250mg', 'zinnat', '750mg', 'tiem', 'nen', '5g', 'nhom', 'sinh', 'bot', 'pha', 'j01dc02', 'zinacef', 'the', '500mg']",[],"{""oral"",""injection""}",False,,[],"Quá mẫn với Cephalosporin, Penicillin.","{""infectious""}"
CETIRIZINE,Thuốc kháng Histamin H1 thế hệ 2.,"['Zyrtec', 'Cetiz']","['Viên nén 5 mg', 'Viên nén 10 mg', 'Dung dịch uống 5 mg/5 ml']",cetirizine,r06ae07,thuoc khang histamin h1 the he 2.,"['vien nen 5mg', 'vien nen 10mg', 'dung dich uong 5mg/5ml']","['zyrtec', 'cetiz']","['cetirizine', '5mg/5ml', 'r06ae07', 'vien', 'he', '2', 'dung', '5mg', 'khang', '10mg', 'dich', 'zyrtec', 'uong', 'h1', 'cetiz', 'nen', 'histamin', 'thuoc', 'the']",[],"{""oral""}",False,,['renal_adjust'],Quá mẫn; Suy thận nặng.,"{""allergy""}"
CHLORAMPHENICOL,Kháng sinh.,['Chloromycetin'],"['Viên nang 250 mg', 'Thuốc tiêm 1 g/4 ml', 'Thuốc mỡ/nhỏ mắt']",chloramphenicol,j01ba01,khang sinh.,"['vien nang 250mg', 'thuoc tiem 1g/4ml', 'thuoc mo/nho mat']",['chloromycetin'],"['j01ba01', 'vien', 'chloramphenicol', 'sinh', 'nang', 'chloromycetin', '250mg', 'thuoc', '1g/4ml', 'mo/nho', 'tiem', 'mat', 'khang']",[],"{""oral"",""injection"",""ophthalmic""}",False,,[],Quá mẫn; Rối loạn tạo máu nặng; Trẻ sơ sinh (nguy cơ hội chứng xám).,"{""infectious""}"
CHLOROQUINE,Thuốc chống sốt rét.,['Nivaquine'],['Viên nén 150 mg (Base)'],chloroquine,p01ba01,thuoc chong sot ret.,['vien nen 150mg (base)'],['nivaquine'],"['vien', '150mg', 'base', 'chloroquine', 'nivaquine', 'thuoc', 'ret', 'chong', 'sot', 'nen', 'p01ba01']",[],"{""oral""}",False,,[],"Quá mẫn; Bệnh võng mạc, tổn thương thị giác; Bệnh vảy nến.",{}
CHLORPHENIRAMINE,Thuốc kháng Histamin H1 thế hệ 1.,['Chlor-Trimeton'],"['Viên nén 4 mg', 'Thuốc tiêm 10 mg/ml']",chlorpheniramine,r06ab04,thuoc khang histamin h1 the he 1.,"['vien nen 4mg', 'thuoc tiem 10mg/ml']",['chlor-trimeton'],"['r06ab04', 'histamin', 'he', 'vien', '10mg/ml', 'chlortrimeton', 'thuoc', 'chlorpheniramine', 'the', '4mg', 'h1', 'tiem', 'nen', '1', 'khang']",[],"{""oral"",""injection""}",False,,[],"Glôcôm góc đóng; Tắc nghẽn đường tiểu, phì đại tiền liệt tuyến.","{""allergy""}"
CHLORPROMAZINE,Thuốc chống loạn thần (Phenothiazine).,['Largactil'],"['Viên nén 25 mg', 'Viên nén 100 mg', 'Thuốc tiêm 25 mg/ml']",chlorpromazine,n05aa01,thuoc chong loan than (phenothiazine).,"['vien nen 25mg', 'vien nen 100mg', 'thuoc tiem 25mg/ml']",['largactil'],"['n05aa01', '100mg', 'chlorpromazine', 'than', 'vien', 'loan', '25mg/ml', 'phenothiazine', 'thuoc', 'largactil', 'chong', 'tiem', '25mg', 'nen']",[],"{""oral"",""injection""}",False,,['hepatic_toxic'],Hôn mê; Suy tủy nặng; Tổn thương gan nặng.,"{""psychiatry""}"
CIMETIDINE,Thuốc kháng Histamin H2.,"['Tagamet', 'Cimet']","['Viên nén 200 mg', 'Viên nén 400 mg']",cimetidine,a02ba01,thuoc khang histamin h2.,"['vien nen 200mg', 'vien nen 400mg']","['tagamet', 'cimet']","['histamin', 'vien', 'thuoc', 'a02ba01', 'tagamet', '200mg', 'h2', '400mg', 'cimetidine', 'cimet', 'nen', 'khang']",[],"{""oral""}",False,,[],Quá mẫn.,"{""gastro""}"
CIPROFLOXACIN,Kháng sinh nhóm Fluoroquinolone.,"['Cipro', 'Ciprobay']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Thuốc tiêm 200 mg/100 ml']",ciprofloxacin,j01ma02,khang sinh nhom fluoroquinolone.,"['vien nen 250mg', 'vien nen 500mg', 'thuoc tiem 200mg/100ml']","['cipro', 'ciprobay']","['cipro', 'vien', 'nhom', 'sinh', 'fluoroquinolone', '250mg', 'thuoc', '200mg/100ml', 'j01ma02', 'ciprobay', 'tiem', 'nen', '500mg', 'ciprofloxacin', 'khang']",[],"{""oral"",""injection""}",False,,[],"Quá mẫn với Quinolone; Đang dùng Tizanidine; Trẻ em, thiếu G6PD.","{""infectious""}"
CISPLATIN,Thuốc chống ung thư; Hợp chất Platin.,['Platinol'],"['Bột pha tiêm 10 mg', 'Bột pha tiêm 50 mg']",cisplatin,l01xa01,thuoc chong ung thu; hop chat platin.,"['bot pha tiem 10mg', 'bot pha tiem 50mg']",['platinol'],"['10mg', 'l01xa01', 'bot', 'pha', 'thu', 'platin', 'thuoc', 'hop', 'platinol', 'chat', 'chong', 'tiem', 'ung', '50mg', 'cisplatin']",[],"{""injection""}",False,,['renal_adjust'],Suy thận/tủy nặng; Tổn thương thính giác; Có thai.,"{""oncology""}"
CLARITHROMYCIN,Kháng sinh nhóm Macrolide.,"['Klacid', 'Clacin']","['Viên nén 250 mg', 'Viên nén 500 mg', 'Hỗn dịch uống 125 mg/5 ml']",clarithromycin,j01fa09,khang sinh nhom macrolide.,"['vien nen 250mg', 'vien nen 500mg', 'hon dich uong 125mg/5ml']","['klacid', 'clacin']","['macrolide', 'clacin', 'vien', 'nhom', 'sinh', 'j01fa09', '250mg', 'hon', 'dich', 'uong', '125mg/5ml', 'klacid', 'clarithromycin', 'nen', '500mg', 'khang']",[],"{""oral""}",True,,[],"Quá mẫn với Macrolide; Loạn nhịp tim (QT kéo dài); Đang dùng Terfenadine, Cisapride, Astemizole.","{""infectious""}"
CLINDAMYCIN,Kháng sinh nhóm Lincosamide.,['Dalacin C'],"['Viên nang 150 mg', 'Viên nang 300 mg', 'Thuốc tiêm 300 mg/2 ml']",clindamycin,j01ff01,khang sinh nhom lincosamide.,"['vien nang 150mg', 'vien nang 300mg', 'thuoc tiem 300mg/2ml']",['dalacin c'],"['vien', 'nhom', '150mg', 'sinh', 'nang', 'lincosamide', 'c', 'thuoc', 'j01ff01', 'tiem', '300mg/2ml', 'dalacin', 'clindamycin', 'khang', '300mg']",[],"{""oral"",""injection""}",False,,[],Quá mẫn; Tiền sử viêm ruột kết liên quan kháng sinh.,"{""infectious""}"
CLOFAZIMINE,Thuốc điều trị phong.,['Lamprene'],"['Viên nang 50 mg', 'Viên nang 100 mg']",clofazimine,j04ba01,thuoc dieu tri phong.,"['vien nang 50mg', 'vien nang 100mg']",['lamprene'],"['100mg', 'j04ba01', 'dieu', 'vien', 'nang', 'clofazimine', 'thuoc', '50mg', 'lamprene', 'tri', 'phong']",[],"{""oral""}",False,,[],Quá mẫn.,"{""infectious""}"
CLOFIBRATE,Thuốc hạ lipid máu.,['Atromid-S'],['Viên nang 500 mg'],clofibrate,c10ab01,thuoc ha lipid mau.,['vien nang 500mg'],['atromid-s'],"['vien', 'c10ab01', 'nang', '500mg', 'thuoc', 'lipid', 'mau', 'atromids', 'clofibrate', 'ha']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']","Suy gan/thận nặng; Xơ gan mật nguyên phát; Có thai, cho con bú.",{}
CLOMIPRAMINE,Thuốc chống trầm cảm ba vòng.,['Anafranil'],"['Viên nén 10 mg', 'Viên nén 25 mg', 'Viên nén 50 mg']",clomipramine,n06aa04,thuoc chong tram cam ba vong.,"['vien nen 10mg', 'vien nen 25mg', 'vien nen 50mg']",['anafranil'],"['10mg', 'clomipramine', 'vien', 'cam', 'tram', 'anafranil', 'ba', 'vong', 'thuoc', 'chong', '25mg', 'nen', 'n06aa04', '50mg']",[],"{""oral""}",False,,[],Đang dùng Thuốc ức chế MAO; Giai đoạn phục hồi sau nhồi máu cơ tim.,"{""psychiatry""}"
CLONAZEPAM,"Thuốc chống động kinh, Benzodiazepine.","['Klonopin', 'Rivotril']","['Viên nén 0', 'Viên nén 5 mg', 'Viên nén 2 mg']",clonazepam,n03ae01,"thuoc chong dong kinh, benzodiazepine.","['vien nen 0', 'vien nen 5mg', 'vien nen 2mg']","['klonopin', 'rivotril']","['vien', 'klonopin', 'thuoc', '5mg', 'clonazepam', '0', '2mg', 'chong', 'kinh', 'dong', 'n03ae01', 'rivotril', 'nen', 'benzodiazepine']",[],"{""oral""}",False,,['hepatic_toxic'],Glôcôm góc đóng; Suy hô hấp cấp; Suy gan nặng; Quá mẫn.,"{""neurology""}"
CLONIDINE,Thuốc hạ huyết áp; Thuốc chủ vận Alpha-2.,['Catapres'],"['Viên nén 0', 'Viên nén 1 mg', 'Thuốc tiêm 150 mcg/ml']",clonidine,c02ac01,thuoc ha huyet ap; thuoc chu van alpha-2.,"['vien nen 0', 'vien nen 1mg', 'thuoc tiem 150 mcg/ml']",['catapres'],"['vien', 'van', 'mcg/ml', 'alpha2', 'clonidine', 'chu', 'thuoc', '150', '0', '1mg', 'tiem', 'catapres', 'ap', 'c02ac01', 'huyet', 'nen', 'ha']",[],"{""oral"",""injection""}",False,,[],Nhịp tim chậm nặng; Quá mẫn.,"{""cardiology""}"
CLOPIDOGREL,Thuốc chống kết tập tiểu cầu.,"['Plavix', 'Agrelan']",['Viên nén 75 mg'],clopidogrel,b01ac04,thuoc chong ket tap tieu cau.,['vien nen 75mg'],"['plavix', 'agrelan']","['tap', 'vien', 'agrelan', 'b01ac04', 'clopidogrel', 'cau', '75mg', 'thuoc', 'plavix', 'ket', 'chong', 'tieu', 'nen']",[],"{""oral""}",False,,['hepatic_toxic'],Xuất huyết nội đang hoạt động (như loét); Suy gan nặng; Quá mẫn.,"{""hematology""}"
CLOTRIMAZOLE,Thuốc chống nấm tại chỗ.,"['Canesten', 'Clotrimin']","['Kem bôi 1%', 'Viên đặt âm đạo 100 mg', 'Viên đặt âm đạo 500 mg']",clotrimazole,d01ac01,thuoc chong nam tai cho.,"['kem boi 1%', 'vien dat am dao 100mg', 'vien dat am dao 500mg']","['canesten', 'clotrimin']","['tai', 'dao', 'vien', '100mg', 'boi', '500mg', 'd01ac01', 'clotrimin', 'kem', 'thuoc', '1%', 'chong', 'dat', 'nam', 'clotrimazole', 'am', 'canesten', 'cho']",[],"{""oral""}",False,,[],Quá mẫn.,"{""dermatology""}"
CLOXACILLIN,Kháng sinh nhóm Penicillin kháng Penicillinase.,['Cloxacap'],"['Viên nang 250 mg', 'Viên nang 500 mg', 'Bột pha tiêm 500 mg', 'Bột pha tiêm 1 g']",cloxacillin,j01cf02,khang sinh nhom penicillin khang penicillinase.,"['vien nang 250mg', 'vien nang 500mg', 'bot pha tiem 500mg', 'bot pha tiem 1g']",['cloxacap'],"['penicillinase', 'vien', 'nhom', 'j01cf02', 'sinh', 'nang', 'bot', 'pha', '250mg', 'cloxacillin', 'cloxacap', 'tiem', 'penicillin', '500mg', 'khang', '1g']",[],"{""oral"",""injection""}",False,,[],"Quá mẫn với Penicillin, Cephalosporin.","{""infectious""}"
CODEINE,Thuốc giảm đau Opioid; Thuốc giảm ho trung ương.,"['Codepect', 'Neo-Codion']","['Viên nén 10 mg', 'Viên nén 30 mg (thường phối hợp)']",codeine,r05da04,thuoc giam dau opioid; thuoc giam ho trung uong.,"['vien nen 10mg', 'vien nen 30mg (thuong phoi hop)']","['codepect', 'neo-codion']","['opioid', '10mg', 'vien', 'thuong', 'codeine', 'r05da04', 'dau', 'ho', 'codepect', 'thuoc', 'hop', 'neocodion', 'trung', 'uong', 'nen', 'giam', 'phoi', '30mg']",[],"{""oral""}",False,12.0,[],Suy hô hấp cấp; Trẻ em dưới 12 tuổi; Chuyển hóa cực nhanh (ultrarapid metabolizers).,"{""respiratory""}"
COLCHICINE,Thuốc điều trị Gout cấp.,['Colchicine'],"['Viên nén 0', 'Viên nén 5 mg', 'Viên nén 1 mg']",colchicine,m04ac01,thuoc dieu tri gout cap.,"['vien nen 0', 'vien nen 5mg', 'vien nen 1mg']",['colchicine'],"['vien', 'dieu', 'colchicine', 'thuoc', '5mg', '0', 'm04ac01', '1mg', 'cap', 'gout', 'tri', 'nen']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Rối loạn tạo máu; Suy thận/gan nặng; Có thai.,"{""rheumatology""}"
CORTISONE,Corticosteroid.,['Cortone'],['Viên nén 25 mg'],cortisone,h02ab02,corticosteroid.,['vien nen 25mg'],['cortone'],"['vien', 'cortisone', 'cortone', 'h02ab02', '25mg', 'nen', 'corticosteroid']",[],"{""oral""}",False,,['renal_adjust'],Nhiễm nấm/virus/lao toàn thân chưa kiểm soát; Đang dùng vắc xin sống.,"{""endocrinology""}"
CYCLOPHOSPHAMIDE,Thuốc chống ung thư; Thuốc ức chế miễn dịch.,['Cytoxan'],"['Viên nén 50 mg', 'Bột pha tiêm 100 mg', 'Bột pha tiêm 500 mg']",cyclophosphamide,l01aa01,thuoc chong ung thu; thuoc uc che mien dich.,"['vien nen 50mg', 'bot pha tiem 100mg', 'bot pha tiem 500mg']",['cytoxan'],"['cyclophosphamide', 'uc', 'ung', '100mg', 'vien', 'l01aa01', 'thu', 'mien', '50mg', 'che', 'cytoxan', 'dich', 'tiem', 'nen', 'bot', 'pha', 'thuoc', 'chong', '500mg']",[],"{""oral"",""injection""}",False,,[],Suy tủy nặng; Viêm bàng quang cấp; Nhiễm khuẩn cấp chưa kiểm soát.,"{""oncology""}"
CYCLOSPORINE,Thuốc ức chế miễn dịch.,"['Sandimmune', 'Neoral']","['Viên nang 25 mg', 'Viên nang 100 mg', 'Dung dịch uống']",cyclosporine,l04ad01,thuoc uc che mien dich.,"['vien nang 25mg', 'vien nang 100mg', 'dung dich uong']","['sandimmune', 'neoral']","['che', '100mg', 'vien', 'nang', 'cyclosporine', '25mg', 'dung', 'thuoc', 'sandimmune', 'dich', 'neoral', 'uong', 'mien', 'uc', 'l04ad01']",[],"{""oral""}",False,,['renal_adjust'],Quá mẫn; Suy thận không kiểm soát; Tăng huyết áp không kiểm soát.,"{""oncology""}"
CYPROHEPTADINE,Thuốc kháng Histamin H1; Kích thích thèm ăn.,['Periactin'],['Viên nén 4 mg'],cyproheptadine,r06ax02,thuoc khang histamin h1; kich thich them an.,['vien nen 4mg'],['periactin'],"['histamin', 'an', 'vien', 'thich', 'thuoc', '4mg', 'r06ax02', 'h1', 'kich', 'cyproheptadine', 'periactin', 'them', 'nen', 'khang']",[],"{""oral""}",False,,[],Glôcôm góc đóng; Tắc nghẽn đường tiểu; Trẻ sơ sinh.,"{""allergy""}"
DANTROLENE,Thuốc giãn cơ.,['Dantrium'],"['Viên nang 25 mg', 'Viên nang 50 mg', 'Viên nang 100 mg']",dantrolene,m03ca01,thuoc gian co.,"['vien nang 25mg', 'vien nang 50mg', 'vien nang 100mg']",['dantrium'],"['100mg', 'gian', 'vien', 'm03ca01', 'nang', 'co', 'dantrolene', 'thuoc', 'dantrium', '25mg', '50mg']",[],"{""oral""}",False,,['hepatic_toxic'],Bệnh gan hoạt động; Nhược cơ cần duy trì sức mạnh cơ.,"{""neurology""}"
DAPSONE,Thuốc điều trị phong.,['Avlosulfon'],"['Viên nén 50 mg', 'Viên nén 100 mg']",dapsone,j04ba02,thuoc dieu tri phong.,"['vien nen 50mg', 'vien nen 100mg']",['avlosulfon'],"['100mg', 'vien', 'dieu', 'j04ba02', 'avlosulfon', 'thuoc', '50mg', 'dapsone', 'tri', 'nen', 'phong']",[],"{""oral""}",False,,['renal_adjust'],Quá mẫn; Thiếu G6PD (cần thận trọng).,"{""infectious""}"
DEFEROXAMINE,Thuốc thải sắt.,['Desferal'],['Bột pha tiêm 500 mg'],deferoxamine,v03ac01,thuoc thai sat.,['bot pha tiem 500mg'],['desferal'],"['thai', 'bot', 'pha', 'thuoc', 'deferoxamine', 'tiem', 'v03ac01', '500mg', 'sat', 'desferal']",[],"{""injection""}",False,,['renal_adjust'],Suy thận nặng; Có thai.,{}
DESMOPRESSIN,Hormone chống bài niệu.,['Minirin'],"['Thuốc tiêm 4 mcg/ml', 'Thuốc xịt mũi']",desmopressin,h01ba02,hormone chong bai nieu.,"['thuoc tiem 4 mcg/ml', 'thuoc xit mui']",['minirin'],"['mui', 'hormone', '4', 'desmopressin', 'minirin', 'mcg/ml', 'bai', 'thuoc', 'xit', 'nieu', 'chong', 'h01ba02', 'tiem']",[],"{""injection"",""inhalation""}",False,,['renal_adjust'],"Suy tim, bệnh thận trung bình đến nặng; Hội chứng SIADH (giảm natri máu).","{""endocrinology""}"
